Host Name,Possible Missing Planets,Ratio
HD 11506,645.496068 +/- 80.687009,5:2
HD 11506,44.791972 +/- 11.197993,5:2
HD 11506,89.583944 +/- 11.197993,5:2
HD 11506,2944.714904 +/- 736.178726,5:2
HD 11506,5889.429808 +/- 736.178726,5:2
HD 125612,185.899980 +/- 27.884997,3:2
HD 125612,371.799960 +/- 27.884997,3:2
HD 125612,1.384887 +/- 0.207733,3:2
HD 125612,2.769773 +/- 0.207733,3:2
HD 125612,940.908993 +/- 141.136349,3:2
HD 125612,1881.817987 +/- 141.136349,3:2
HD 125612,557.699940 +/- 27.884997,1:1
HD 125612,4.154660 +/- 0.207733,1:1
HD 125612,2822.726980 +/- 141.136349,1:1
HD 125612,278.849970 +/- 27.884997,2:1
HD 125612,2.077330 +/- 0.207733,2:1
HD 125612,1411.363490 +/- 141.136349,2:1
HD 125612,185.899980 +/- 27.884997,3:1
HD 125612,1.384887 +/- 0.207733,3:1
HD 125612,940.908993 +/- 141.136349,3:1
HD 125612,111.539988 +/- 27.884997,5:2
HD 125612,223.079976 +/- 27.884997,5:2
HD 125612,0.830932 +/- 0.207733,5:2
HD 125612,1.661864 +/- 0.207733,5:2
HD 125612,564.545396 +/- 141.136349,5:2
HD 125612,1129.090792 +/- 141.136349,5:2
HD 136352,3.859323 +/- 0.578899,3:2
HD 136352,7.718647 +/- 0.578899,3:2
HD 136352,9.197403 +/- 1.379611,3:2
HD 136352,18.394807 +/- 1.379611,3:2
HD 136352,35.748333 +/- 5.362250,3:2
HD 136352,71.496667 +/- 5.362250,3:2
HD 136352,11.577970 +/- 0.578899,1:1
HD 136352,27.592210 +/- 1.379611,1:1
HD 136352,107.245000 +/- 5.362250,1:1
HD 136352,5.788985 +/- 0.578899,2:1
HD 136352,13.796105 +/- 1.379611,2:1
HD 136352,53.622500 +/- 5.362250,2:1
HD 136352,3.859323 +/- 0.578899,3:1
HD 136352,9.197403 +/- 1.379611,3:1
HD 136352,35.748333 +/- 5.362250,3:1
HD 136352,2.315594 +/- 0.578899,5:2
